"Species","Type","Dead.Code","X","Y","Diam10","Height","DBH","Crown.Radius","Growth","timestep","Treatment","Unit","PlotNumber","Class","C_tree","C_unit"
"Pl","Snag","Alive",421.732,373.746,NA,15.2272065212743,14.0908,NA,NA,26,"CC","A3",21,1,0.0323680783933203,0.0748422185013543
"Pl","Snag","Alive",318.064,177.12,NA,9.91752134900712,6.97685,NA,NA,11,"CC","B4",10,1,0.00619637722094036,0.00991692821613681
"Hw","Snag","Alive",470.666,185.678,NA,11.2446040364007,5.29648,NA,NA,11,"CC","B4",12,1,0.00372055099519646,0.00991692821613681
"Pl","Snag","Alive",318.064,177.12,NA,9.91752134900712,6.97685,NA,NA,12,"CC","B4",10,1,0.00619637722094036,0.00991692821613681
"Hw","Snag","Alive",470.666,185.678,NA,11.2446040364007,5.29648,NA,NA,12,"CC","B4",12,1,0.00372055099519646,0.00991692821613681
"Pl","Snag","Alive",318.064,177.12,NA,9.91752134900712,6.97685,NA,NA,13,"CC","B4",10,1,0.00619637722094036,0.00991692821613681
"Hw","Snag","Alive",470.666,185.678,NA,11.2446040364007,5.29648,NA,NA,13,"CC","B4",12,1,0.00372055099519646,0.00991692821613681
"Pl","Snag","Alive",318.064,177.12,NA,9.91752134900712,6.97685,NA,NA,14,"CC","B4",10,1,0.00619637722094036,0.00991692821613681
"Hw","Snag","Alive",470.666,185.678,NA,11.2446040364007,5.29648,NA,NA,14,"CC","B4",12,1,0.00372055099519646,0.00991692821613681
"Pl","Snag","Alive",318.064,177.12,NA,9.91752134900712,6.97685,NA,NA,15,"CC","B4",10,1,0.00619637722094036,0.0207651664786511
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,15,"CC","B4",14,1,0.0145687892577107,0.0207651664786511
"Sx","Snag","Alive",158.062,262.724,NA,7.23919912166014,6.42656,NA,NA,16,"CC","B4",14,1,0.00446887080519299,0.0190376600629037
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,16,"CC","B4",14,1,0.0145687892577107,0.0190376600629037
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,17,"CC","B4",14,1,0.0145687892577107,0.0196636198034733
"Sx","Snag","Alive",162.707,340.725,NA,7.5451830911864,6.79679,NA,NA,17,"CC","B4",19,1,0.00509483054576258,0.0196636198034733
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,18,"CC","B4",14,1,0.0145687892577107,0.0196636198034733
"Sx","Snag","Alive",162.707,340.725,NA,7.5451830911864,6.79679,NA,NA,18,"CC","B4",19,1,0.00509483054576258,0.0196636198034733
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,19,"CC","B4",14,1,0.0145687892577107,0.0196636198034733
"Sx","Snag","Alive",162.707,340.725,NA,7.5451830911864,6.79679,NA,NA,19,"CC","B4",19,1,0.00509483054576258,0.0196636198034733
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,20,"CC","B4",14,1,0.0145687892577107,0.0335799548813871
"Sx","Snag","Alive",162.707,340.725,NA,7.5451830911864,6.79679,NA,NA,20,"CC","B4",19,1,0.00509483054576258,0.0335799548813871
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,20,"CC","B4",26,1,0.0139163350779138,0.0335799548813871
"Pl","Snag","Alive",88.1251,178.281,NA,15.5382691270332,14.6431,NA,NA,21,"CC","B4",7,1,0.0353449645310116,0.0638300888666362
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,21,"CC","B4",14,1,0.0145687892577107,0.0638300888666362
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,21,"CC","B4",26,1,0.0139163350779138,0.0638300888666362
"Pl","Snag","Alive",88.1251,178.281,NA,15.5382691270332,14.6431,NA,NA,22,"CC","B4",7,1,0.0353449645310116,0.0638300888666362
"Pl","Snag","Alive",166.591,261.054,NA,12.5012753762824,9.99806,NA,NA,22,"CC","B4",14,1,0.0145687892577107,0.0638300888666362
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,22,"CC","B4",26,1,0.0139163350779138,0.0638300888666362
"Pl","Snag","Alive",391.225,107.022,NA,16.2324771941749,15.9595,NA,NA,23,"CC","B4",6,1,0.0429878376373269,0.134030484025989
"Pl","Snag","Alive",88.1251,178.281,NA,15.5382691270332,14.6431,NA,NA,23,"CC","B4",7,1,0.0353449645310116,0.134030484025989
"Pl","Snag","Alive",312.936,337.204,NA,16.1314824057742,15.7602,NA,NA,23,"CC","B4",21,1,0.041781346779737,0.134030484025989
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,23,"CC","B4",26,1,0.0139163350779138,0.134030484025989
"Pl","Snag","Alive",391.225,107.022,NA,16.2324771941749,15.9595,NA,NA,24,"CC","B4",6,1,0.0429878376373269,0.134030484025989
"Pl","Snag","Alive",88.1251,178.281,NA,15.5382691270332,14.6431,NA,NA,24,"CC","B4",7,1,0.0353449645310116,0.134030484025989
"Pl","Snag","Alive",312.936,337.204,NA,16.1314824057742,15.7602,NA,NA,24,"CC","B4",21,1,0.041781346779737,0.134030484025989
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,24,"CC","B4",26,1,0.0139163350779138,0.134030484025989
"Pl","Snag","Alive",391.225,107.022,NA,16.2324771941749,15.9595,NA,NA,25,"CC","B4",6,1,0.0429878376373269,0.0986855194949778
"Pl","Snag","Alive",312.936,337.204,NA,16.1314824057742,15.7602,NA,NA,25,"CC","B4",21,1,0.041781346779737,0.0986855194949778
"Hw","Snag","Alive",319.665,407.979,NA,11.2446040364007,10.2868,NA,NA,25,"CC","B4",26,1,0.0139163350779138,0.0986855194949778
"Pl","Snag","Alive",391.225,107.022,NA,16.2324771941749,15.9595,NA,NA,26,"CC","B4",6,1,0.0429878376373269,0.0847691844170639
"Pl","Snag","Alive",312.936,337.204,NA,16.1314824057742,15.7602,NA,NA,26,"CC","B4",21,1,0.041781346779737,0.0847691844170639
"Pl","Snag","Alive",509.23,281.233,NA,10.5888796397627,7.70195,NA,NA,12,"CC","D2",23,1,0.00784663593824158,0.00784663593824158
"Pl","Snag","Alive",509.23,281.233,NA,10.5888796397627,7.70195,NA,NA,13,"CC","D2",23,1,0.00784663593824158,0.00784663593824158
"Pl","Snag","Alive",509.23,281.233,NA,10.5888796397627,7.70195,NA,NA,14,"CC","D2",23,1,0.00784663593824158,0.00784663593824158
"Sx","Snag","Alive",98.1291,206.047,NA,7.29021242360658,6.488,NA,NA,16,"CC","D2",8,1,0.00456940064164158,0.00456940064164158
"Pl","Snag","Alive",299.076,346.273,NA,14.1698991540907,12.3601,NA,NA,18,"CC","D2",26,1,0.0239242320287516,0.0239242320287516
"Sx","Snag","Alive",299.144,412.35,NA,9.9206576467112,9.81977,NA,NA,24,"CC","D2",30,1,0.01213693907562,0.01213693907562
"Sx","Snag","Alive",244.314,143.555,NA,9.98494742875675,9.90551,NA,NA,25,"CC","D2",4,1,0.0123898135284023,0.0245267526040222
"Sx","Snag","Alive",299.144,412.35,NA,9.9206576467112,9.81977,NA,NA,25,"CC","D2",30,1,0.01213693907562,0.0245267526040222
"Sx","Snag","Alive",244.314,143.555,NA,9.98494742875675,9.90551,NA,NA,26,"CC","D2",4,1,0.0123898135284023,0.0123898135284023
"Hw","Snag","Alive",151.722,139.256,NA,11.2446040364007,5.31008,NA,NA,1,"HR","B2",3,1,0.0037395303852831,0.0596334348369117
"Bl","Snag","Alive",62.647,222.898,NA,7.75530626853663,7.23665,NA,NA,1,"HR","B2",9,1,0.00523442650175881,0.0596334348369117
"Bl","Snag","Alive",60.661,224.841,NA,7.80385320162529,7.29913,NA,NA,1,"HR","B2",9,1,0.00534506142519186,0.0596334348369117
"Hw","Snag","Alive",492.579,315.196,NA,11.2446040364007,17.7023,NA,NA,1,"HR","B2",19,1,0.0410702201231552,0.0596334348369117
"Hw","Snag","Alive",323.45,481.428,NA,11.2446040364007,5.65986,NA,NA,1,"HR","B2",25,1,0.0042441964015227,0.0596334348369117
"Hw","Snag","Alive",151.722,139.256,NA,11.2446040364007,5.31008,NA,NA,2,"HR","B2",3,1,0.0037395303852831,0.132580289535655
"Cw","Snag","Alive",61.0373,222.963,NA,11.2446040364007,5.01827,NA,NA,2,"HR","B2",9,1,0.00471900687844775,0.132580289535655
"Bl","Snag","Alive",62.647,222.898,NA,7.75530626853663,7.23665,NA,NA,2,"HR","B2",9,1,0.00523442650175881,0.132580289535655
"Hw","Snag","Alive",492.579,315.196,NA,11.2446040364007,17.7023,NA,NA,2,"HR","B2",19,1,0.0410702201231552,0.132580289535655
"Hw","Snag","Alive",584.592,312.178,NA,11.2446040364007,10.1006,NA,NA,2,"HR","B2",20,1,0.0134194249096853,0.132580289535655
"Hw","Snag","Alive",403.938,396.502,NA,11.2446040364007,16.5475,NA,NA,2,"HR","B2",22,1,0.0358952437419899,0.132580289535655
"Hw","Snag","Alive",323.45,481.428,NA,11.2446040364007,5.65986,NA,NA,2,"HR","B2",25,1,0.0042441964015227,0.132580289535655
"Hw","Snag","Alive",497.114,478.353,NA,11.2446040364007,13.5964,NA,NA,2,"HR","B2",27,1,0.0242582405938125,0.132580289535655
"Bl","Snag","Alive",150.121,133.102,NA,7.70355032988466,7.17019,NA,NA,3,"HR","B2",3,1,0.00511824788897575,0.476049695230152
"Hw","Snag","Alive",151.722,139.256,NA,11.2446040364007,5.31008,NA,NA,3,"HR","B2",3,1,0.0037395303852831,0.476049695230152
"Cw","Snag","Alive",61.0373,222.963,NA,11.2446040364007,5.01827,NA,NA,3,"HR","B2",9,1,0.00471900687844775,0.476049695230152
"Hw","Snag","Alive",60.9146,222.642,NA,11.2446040364007,6.36828,NA,NA,3,"HR","B2",9,1,0.00536381990508708,0.476049695230152
"Hw","Snag","Alive",237.837,222.748,NA,11.2446040364007,5.16912,NA,NA,3,"HR","B2",11,1,0.00354514984396871,0.476049695230152
"Ep","Snag","Alive",235.333,229.196,NA,24.7814570757145,34.7693,NA,NA,3,"HR","B2",11,1,0.331800082790421,0.476049695230152
